code,name,mktcap_raw,market_cap_yuan
603186,华正新材,2015542.10889,20155421088.9
301489,思泉新材,2015455.012586,20154550125.86
301095,广立微,2012424.372224,20124243722.24
002326,永太科技,2007526.97012,20075269701.2
002120,韵达股份,2006247.317592,20062473175.92
001287,中电港,2006136.25608,20061362560.8
300201,海伦哲,2002951.559895,20029515598.95
301301,川宁生物,2002616.33,20026163300.0
301183,东田微,2002309.13175,20023091317.5
000050,深天马Ａ,2002207.542378,20022075423.78
688403,汇成股份,2000704.167249,20007041672.489998
002151,北斗星通,1997912.15984,19979121598.4
002617,露笑科技,1996995.954838,19969959548.38
000682,东方电子,1995001.786416,19950017864.16
603171,税友股份,1993122.225,19931222250.0
300773,拉卡拉,1987485.586578,19874855865.780003
688561,奇安信,1985355.42975,19853554297.5
688006,杭可科技,1984270.363624,19842703636.24
002317,众生药业,1983737.733318,19837377333.18
000600,建投能源,1983557.8136,19835578136.0
603124,江南新材,1982280.451599,19822804515.99
603031,安孚科技,1972411.2322,19724112322.0
600226,亨通股份,1972014.751512,19720147515.120003
601098,中南传媒,1972008.0,19720080000.0
300088,长信科技,1970711.793831,19707117938.31
001331,胜通能源,1969470.72,19694707200.0
601969,海南矿业,1968028.569988,19680285699.88
002237,恒邦股份,1967639.281408,19676392814.08
002568,百润股份,1966585.547488,19665855474.88
301682,宏明电子,1966547.063082,19665470630.82
600339,中油工程,1965267.909792,19652679097.92
688268,华特气体,1963586.907182,19635869071.82
600151,航天机电,1962057.128616,19620571286.16
002552,宝鼎科技,1960489.877543,19604898775.43
301035,润丰股份,1957535.230728,19575352307.28
601137,博威合金,1956495.47388,19564954738.8
002773,康弘药业,1955964.385342,19559643853.420002
600606,绿地控股,1953536.345646,19535363456.46
603000,人民网,1952650.404896,19526504048.96
001386,马可波罗,1952499.28,19524992800.0
300821,东岳硅材,1952400.0,19524000000.0
688484,南芯科技,1952282.37105,19522823710.5
300409,道氏技术,1946235.395064,19462353950.64
000739,普洛药业,1945026.764104,19450267641.04
002739,儒意电影,1944948.190068,19449481900.68
002645,华宏科技,1943678.31492,19436783149.2
000628,高新发展,1940005.96,19400059600.0
301316,慧博云通,1939200.0,19392000000.0
600500,中化国际,1937685.40362,19376854036.2
002217,合力泰,1937164.322352,19371643223.52
300166,东方国信,1932451.534356,19324515343.559998
002389,航天彩虹,1931420.317181,19314203171.81
300170,汉得信息,1930267.646946,19302676469.46
002922,伊戈尔,1926978.13344,19269781334.4
603009,北特科技,1926966.540845,19269665408.45
002768,国恩股份,1925590.0,19255900000.0
300364,中文在线,1923968.811638,19239688116.38
601107,四川成渝,1923519.74,19235197400.0
603588,高能环境,1919275.41582,19192754158.2
688772,珠海冠宇,1919054.76828,19190547682.8
688143,长盈通,1918962.730602,19189627306.02
600172,黄河旋风,1913778.799652,19137787996.52
000009,中国宝安,1913776.76203,19137767620.3
601666,平煤股份,1913757.034125,19137570341.25
300769,德方纳米,1913684.2449,19136842449.0
688765,禾元生物,1907262.5,19072625000.0
600776,东方通信,1906608.097152,19066080971.52
300296,利亚德,1906519.987066,19065199870.66
603341,龙旗科技,1904842.89738,19048428973.8
301071,力量钻石,1903631.697282,19036316972.82
688100,威胜信息,1903313.312425,19033133124.25
600612,老凤祥,1902579.307668,19025793076.68
300779,惠城环保,1897833.824761,18978338247.61
000833,粤桂股份,1897726.534886,18977265348.86
002171,楚江新材,1895591.434496,18955914344.96
603305,旭升集团,1895362.03184,18953620318.4
300735,光弘科技,1893330.22554,18933302255.4
000898,鞍钢股份,1892582.694116,18925826941.16
601187,厦门银行,1889615.567808,18896155678.079998
000686,东北证券,1888745.502405,18887455024.05
603658,安图生物,1887416.008704,18874160087.04
000937,冀中能源,1886914.0179,18869140179.0
300684,中石科技,1886309.086454,18863090864.54
603233,大参林,1885932.398952,18859323989.52
002500,山西证券,1884630.062175,18846300621.75
000581,威孚高科,1883298.529964,18832985299.64
688055,龙腾光电,1880000.0376,18800000376.0
603002,宏昌电子,1878034.010904,18780340109.04
300723,一品红,1876783.44273,18767834427.3
688686,奥普特,1876314.23425,18763142342.5
301291,明阳电气,1875839.673129,18758396731.29
688380,中微半导,1874108.565,18741085650.0
300969,恒帅股份,1872138.64993,18721386499.3
600179,安通控股,1866103.397739,18661033977.39
301123,奕东电子,1865388.0,18653880000.0
300436,广生堂,1859760.759,18597607590.0
600623,华谊集团,1859600.20128,18596002012.8
300140,节能环境,1859440.2096,18594402096.0
603698,航天工程,1858813.32,18588133200.0
688712,北芯生命,1857318.0,18573180000.0
603662,柯力传感,1853477.1288,18534771288.0
601139,深圳燃气,1852622.557688,18526225576.879997
301029,怡合达,1852506.121752,18525061217.52
600877,电科芯片,1851869.045488,18518690454.879997
002993,奥海科技,1849468.0,18494680000.0
688520,神州细胞,1848889.691734,18488896917.34
601702,华峰铝业,1845284.5488,18452845488.0
688028,沃尔德,1844898.678,18448986780.0
688593,新相微,1844091.530356,18440915303.559998
601375,中原证券,1843225.2259,18432252259.0
688158,优刻得,1842911.026268,18429110262.68
001359,平安电工,1842602.937945,18426029379.45
600380,健康元,1842259.559702,18422595597.02
000528,柳 工,1839377.3181,18393773181.0
688107,安路科技,1839096.895796,18390968957.96
600416,湘电股份,1838824.850464,18388248504.64
603226,菲林格尔,1837892.4509,18378924509.0
600435,北方导航,1832977.591788,18329775917.88
601326,秦港股份,1832671.136,18326711360.0
001393,维通利,1832600.0049,18326000049.0
603529,爱玛科技,1831254.19202,18312541920.2
603203,快克智能,1829859.770544,18298597705.44
