code,name,market_cap
000617,中油资本,97596850489.87999
000620,盈新发展,16441082112.0
000623,吉林敖东,20449811117.7
000625,长安汽车,78708617449.28
000628,高新发展,20044732000.0
000629,钒钛股份,32797045892.850002
000630,铜陵有色,86893375384.8
000636,风华高科,56277122583.04
000651,格力电器,212685375985.77
000657,中钨高新,153053857548.0
000661,长春高新,30101710264.91
000672,上峰水泥,17526669736.0
000680,山推股份,16396558749.16
000681,视觉中国,13479109868.640001
000682,东方电子,19775723353.25
000683,博源化工,26947028810.0
000685,中山公用,16860522741.93
000686,东北证券,18700218790.85
000688,国城矿业,48350762404.8
000690,宝新能源,12837738385.8
000697,炼石航空,17492986399.0
000700,模塑科技,13210241447.71
000703,恒逸石化,50209040961.18
000708,中信特钢,72224836088.67
000709,河钢股份,22948408824.24
000719,中原传媒,13045847799.75
000723,美锦能源,18802936647.88
000725,京东方Ａ,207818680439.03998
000727,冠捷科技,13271631251.4
000728,国元证券,30982823026.100002
000729,燕京啤酒,34978073221.81
000733,振华科技,29271229345.42
000737,北方铜业,26208898145.6
000738,航发控制,26500957620.15
000739,普洛药业,18998474646.399998
000750,国海证券,23564983820.13
000758,中色股份,13335947531.0
000761,本钢板材,10352766060.0
000762,西藏矿业,15551662506.4
000766,通化金马,22026414372.530003
000767,晋控电力,16000099538.8
000768,中航西飞,60506076537.6
000776,广发证券,143977157402.4
000778,新兴铸管,16764261065.55
000783,长江证券,44793590878.799995
000785,居然智家,14571294224.759998
000786,北新建材,37789640132.399994
000791,甘肃能源,31400368702.56
000792,盐湖股份,164091664496.41
000795,英洛华,10384546383.48
000799,酒鬼酒,13718501535.6
000800,一汽解放,29675324279.25
000801,四川九洲,13588262027.83
000807,云铝股份,100293328152.6
000810,创维数字,13399778495.35
000811,冰轮环境,34945149851.85
000815,美利云,11520508489.949999
000825,太钢不锈,22272328882.36
000828,东莞控股,10405565089.92
000830,鲁西化工,25098924564.98
000831,中国稀土,53262672303.33
000833,粤桂股份,18544140949.52
000837,秦川机床,12216361293.78
000839,国安股份,11837875583.039999
000858,五 粮 液,318214224249.89996
000869,张 裕Ａ,11797460297.6
000875,电投绿能,25681076032.079998
000876,新 希 望,35436841115.19
000877,天山股份,31001743785.839996
000878,云南铜业,42198202296.0
000880,潍柴重机,15149303114.400002
000883,湖北能源,37166785057.5
000887,中鼎股份,25302932937.34
000893,亚钾国际,41619265462.48
000895,双汇发展,85750365021.75
000898,鞍钢股份,19019519153.74
000899,赣能股份,13718029305.6
000901,航天科技,15972010134.060001
000902,新洋丰,16449563080.859999
000905,厦门港务,14466848223.939999
000917,电广传媒,10929359365.98
000921,海信家电,33112030598.61
000922,佳电股份,11467255030.0
000923,河钢资源,10371863190.29
000927,中国铁物,16093940685.060001
000932,华菱钢铁,27821593189.6
000933,神火股份,67582582189.950005
000935,四川双马,24529337899.29
000937,冀中能源,19187159395.5
000938,紫光股份,78623595736.26001
